postcode,place_id,distance,duration
5040,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,17.55,29.25
5040,ChIJscH3eyHJsGoRjMLoSHcIsm4,11.55,20.23
6052,ChIJA8JbLlhLt2oRwQltOFgMf40,2603.63,1636.67
6052,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,2608.76,1641.58
6052,ChIJu3UpY0zRsGoRLMloCgGsIcA,2620.24,1649.23
6052,ChIJHc3SHVrasGoRMPi5RVU2Aw8,2616.97,1643.87
6052,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,2609.17,1635.28
6052,ChIJscH3eyHJsGoRjMLoSHcIsm4,2605.09,1628.02
5045,ChIJA8JbLlhLt2oRwQltOFgMf40,28.15,43.3
5045,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,22.19,35.98
5045,ChIJu3UpY0zRsGoRLMloCgGsIcA,16.21,26.62
5045,ChIJHc3SHVrasGoRMPi5RVU2Aw8,4.13,8.98
5045,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,18.96,31.98
5045,ChIJscH3eyHJsGoRjMLoSHcIsm4,12.96,22.97
5038,ChIJA8JbLlhLt2oRwQltOFgMf40,24.31,38.02
5038,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,18.36,30.7
5038,ChIJu3UpY0zRsGoRLMloCgGsIcA,12.38,22.32
5038,ChIJHc3SHVrasGoRMPi5RVU2Aw8,6.18,10.8
5038,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,15.12,26.72
5038,ChIJscH3eyHJsGoRjMLoSHcIsm4,9.13,17.68
5252,ChIJA8JbLlhLt2oRwQltOFgMf40,46.53,49.1
5252,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,37.98,42.33
5252,ChIJu3UpY0zRsGoRLMloCgGsIcA,41.96,37.8
5252,ChIJHc3SHVrasGoRMPi5RVU2Aw8,53.99,53.7
5252,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,49.49,47.5
5252,ChIJscH3eyHJsGoRjMLoSHcIsm4,48.19,45.78
5033,ChIJA8JbLlhLt2oRwQltOFgMf40,21.88,34.33
5033,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,16.69,29.18
5033,ChIJu3UpY0zRsGoRLMloCgGsIcA,13.94,23.65
5033,ChIJHc3SHVrasGoRMPi5RVU2Aw8,10.09,16.68
5033,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,13.45,25.18
5033,ChIJscH3eyHJsGoRjMLoSHcIsm4,8.08,14.72
5064,ChIJA8JbLlhLt2oRwQltOFgMf40,18.66,26.8
5064,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,11.11,17.15
5064,ChIJu3UpY0zRsGoRLMloCgGsIcA,8.52,12.83
5064,ChIJHc3SHVrasGoRMPi5RVU2Aw8,14.54,22.8
5064,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,8.95,14.95
5064,ChIJscH3eyHJsGoRjMLoSHcIsm4,8.73,14.7
5153,ChIJA8JbLlhLt2oRwQltOFgMf40,42.8,52.05
5153,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,28.34,35.32
5153,ChIJu3UpY0zRsGoRLMloCgGsIcA,23.06,29.23
5153,ChIJHc3SHVrasGoRMPi5RVU2Aw8,32.69,41.42
5153,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,33.61,40.73
5153,ChIJscH3eyHJsGoRjMLoSHcIsm4,32.31,39.02
5050,ChIJA8JbLlhLt2oRwQltOFgMf40,30.44,43.55
5050,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,24.27,35.08
5050,ChIJu3UpY0zRsGoRLMloCgGsIcA,6.7,10.23
5050,ChIJHc3SHVrasGoRMPi5RVU2Aw8,7.26,12.02
5050,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,21.25,32.23
5050,ChIJscH3eyHJsGoRjMLoSHcIsm4,18.76,27.57
5158,ChIJA8JbLlhLt2oRwQltOFgMf40,37.43,51.52
5158,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,31.27,43.05
5158,ChIJu3UpY0zRsGoRLMloCgGsIcA,17.02,23.03
5158,ChIJHc3SHVrasGoRMPi5RVU2Aw8,10.41,13.95
5158,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,28.24,40.22
5158,ChIJscH3eyHJsGoRjMLoSHcIsm4,24.21,33.85
5031,ChIJA8JbLlhLt2oRwQltOFgMf40,19.67,31.15
5031,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,16.65,28.05
5031,ChIJu3UpY0zRsGoRLMloCgGsIcA,15.52,26.15
5031,ChIJHc3SHVrasGoRMPi5RVU2Aw8,11.88,19.32
5031,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.22,21.63
5031,ChIJscH3eyHJsGoRjMLoSHcIsm4,5.87,11.53
5012,ChIJA8JbLlhLt2oRwQltOFgMf40,18.28,26.77
5012,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,19.32,29.43
5012,ChIJu3UpY0zRsGoRLMloCgGsIcA,22.2,35.88
5012,ChIJHc3SHVrasGoRMPi5RVU2Aw8,19.47,29.65
5012,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,13.31,23.02
5012,ChIJscH3eyHJsGoRjMLoSHcIsm4,7.96,13.38
5152,ChIJA8JbLlhLt2oRwQltOFgMf40,26.58,36.32
5152,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,12.2,17.75
5152,ChIJu3UpY0zRsGoRLMloCgGsIcA,11.87,15.53
5152,ChIJHc3SHVrasGoRMPi5RVU2Aw8,22.86,31.53
5152,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,19.47,25.67
5152,ChIJscH3eyHJsGoRjMLoSHcIsm4,18.17,23.95
5062,ChIJA8JbLlhLt2oRwQltOFgMf40,21.74,33.27
5062,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,15.58,24.8
5062,ChIJu3UpY0zRsGoRLMloCgGsIcA,5.72,10.03
5062,ChIJHc3SHVrasGoRMPi5RVU2Aw8,11.74,19.98
5062,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.55,21.97
5062,ChIJscH3eyHJsGoRjMLoSHcIsm4,10.07,17.3
5155,ChIJA8JbLlhLt2oRwQltOFgMf40,33.37,38.68
5155,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,16.54,21.38
5155,ChIJu3UpY0zRsGoRLMloCgGsIcA,16.64,17.67
5155,ChIJHc3SHVrasGoRMPi5RVU2Aw8,28.67,33.57
5155,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,24.18,27.37
5155,ChIJscH3eyHJsGoRjMLoSHcIsm4,22.87,25.65
5157,ChIJA8JbLlhLt2oRwQltOFgMf40,39.39,48.75
5157,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,26.42,32.87
